"","Code figure","...2","...3"
"89",88,"Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed","- moderate or heavy"
"90",89,"Shower(s) of hail*, with or without rain or rain and snow mixed, 
not associated with thunder","- slight"
"91",90,"Shower(s) of hail*, with or without rain or rain and snow mixed, 
not associated with thunder","- moderate or heavy"
"92",91,"Slight rain at time of observation","Thunderstorm during the preceding hour but not at time of observation"
"93",92,"Moderate or heavy rain at time of observation","Thunderstorm during the preceding hour but not at time of observation"
"94",93,"Slight snow, or rain and snow mixed or hail** at time of observation","Thunderstorm during the preceding hour but not at time of observation"
"95",94,"Moderate or heavy snow, or rain and snow mixed or hail** at time of 
observation","Thunderstorm during the preceding hour but not at time of observation"
"96",95,"Thunderstorm, slight or moderate, without hail** but with rain and/or 
snow at time of observation","Thunderstorm at time of observation"
"97",96,"Thunderstorm, slight or moderate, with hail** at time of observation","Thunderstorm at time of observation"
"98",97,"Thunderstorm, heavy, without hail** but with rain and/or snow 
at time of observation","Thunderstorm at time of observation"
"99",98,"Thunderstorm combined with duststorm or sandstorm at time of observation","Thunderstorm at time of observation"
"100",99,"Thunderstorm, heavy, with hail** at time of observation","Thunderstorm at time of observation"
